wvg_height = 0.15 , mode = yO, SUBSRATE = True, hx_min = 0.1, hy_min = 0.15
hx = 0.1, hy = 0.15, a = 0.348, w = 0.65, gamma = 0.00818, freqs = 196.586 , 213.5913 
hx = 0.25, hy = 0.425, a = 0.439, w = 0.7, gamma = 0.11826, freqs = 179.5045 , 230.8913 
hx = 0.25, hy = 0.45, a = 0.439, w = 0.7, gamma = 0.11857, freqs = 180.2666 , 233.1946 
hx = 0.25, hy = 0.425, a = 0.44, w = 0.7, gamma = 0.11858, freqs = 179.2028 , 230.3501 
hx = 0.25, hy = 0.45, a = 0.44, w = 0.7, gamma = 0.11901, freqs = 179.9502 , 232.6256 
hx = 0.25, hy = 0.45, a = 0.441, w = 0.7, gamma = 0.11948, freqs = 179.6316 , 232.0838 
hx = 0.25, hy = 0.45, a = 0.442, w = 0.7, gamma = 0.11987, freqs = 179.3141 , 231.5235 
hx = 0.25, hy = 0.45, a = 0.443, w = 0.7, gamma = 0.12025, freqs = 178.9897 , 230.9561 
hx = 0.25, hy = 0.45, a = 0.444, w = 0.7, gamma = 0.12056, freqs = 178.691 , 230.4252 
hx = 0.25, hy = 0.45, a = 0.445, w = 0.7, gamma = 0.12078, freqs = 178.383 , 229.8332 
hx = 0.25, hy = 0.45, a = 0.446, w = 0.7, gamma = 0.12104, freqs = 178.0926 , 229.3317 
hx = 0.25, hy = 0.475, a = 0.446, w = 0.7, gamma = 0.12105, freqs = 178.8646 , 231.1858 
hx = 0.25, hy = 0.45, a = 0.447, w = 0.7, gamma = 0.12125, freqs = 177.9554 , 229.157 
hx = 0.25, hy = 0.45, a = 0.448, w = 0.7, gamma = 0.12138, freqs = 177.6123 , 228.4898 
hx = 0.25, hy = 0.475, a = 0.448, w = 0.7, gamma = 0.12152, freqs = 178.3989 , 230.3576 
hx = 0.25, hy = 0.475, a = 0.449, w = 0.7, gamma = 0.1217, freqs = 178.1009 , 229.7794 
hx = 0.25, hy = 0.475, a = 0.45, w = 0.7, gamma = 0.12188, freqs = 177.8238 , 229.2666 
run_count : 44445
